gene	non-smoker	smoker	log2_fold_change	p_value	Regulation	Significance
ilmn_1705066_btbd11	137.88774193548386	176.57083333333333	0.35675284401695523	0.13440409248920857	Upregulated	Not significant
ilmn_1813671_slc25a1	106.70112903225807	102.48166666666667	-0.05820959813715835	0.2908440505020873	Downregulated	Not significant
ilmn_1770885_cox17	384.27209677419353	383.9141666666667	-0.0013444240103178695	0.9833497114354586	Downregulated	Not significant
ilmn_1700633_abhd4	911.0970967741936	952.8883333333333	0.06470234605448232	0.4202873673153017	Upregulated	Not significant
ilmn_1777794_prkcsh	1993.0856451612904	2006.285	0.009522854768175376	0.8271165883590804	Upregulated	Not significant
ilmn_1694731_clcn7	3453.304193548387	3287.0416666666665	-0.07118767925333296	0.24844399356402083	Downregulated	Not significant
ilmn_1736828_chst10	1970.957258064516	1919.6433333333334	-0.03805820520463915	0.6843526977937597	Downregulated	Not significant
ilmn_1682864_spsb3	88.79435483870968	82.36333333333333	-0.10846574059278319	0.11980387592084743	Downregulated	Not significant
ilmn_1668532_gmeb2	137.89967741935484	176.57083333333333	0.35662797056593026	0.13451113714465976	Upregulated	Not significant
ilmn_1660806_csrp2	88.80741935483871	82.35916666666667	-0.10875097812875836	0.11889156252061528	Downregulated	Not significant
ilmn_1655215_pggt1b	101.34887096774193	104.31333333333333	0.041593557778061736	0.5171299277837433	Upregulated	Not significant
ilmn_1738395_tpd52l3	242.81645161290322	230.65833333333333	-0.07410875652350073	0.5462661947831643	Downregulated	Not significant
ilmn_1758146_sirpa	260.3248387096774	308.97333333333336	0.24716935629793638	0.36359597624500095	Upregulated	Not significant
ilmn_1746378_ghdc	914.7582258064516	925.5333333333333	0.01689446627323665	0.8768046674840608	Upregulated	Not significant
ilmn_1770811_pelo	1993.1	2006.2841666666668	0.009511864815671067	0.8273106695418877	Upregulated	Not significant
ilmn_1702279_kif3b	260.33838709677417	268.62083333333334	0.04518314577840214	0.6335434056288602	Upregulated	Not significant
ilmn_1749011_necap2	101.34064516129033	104.31416666666667	0.04172218167351428	0.515845884569966	Upregulated	Not significant
ilmn_1714108_tp53inp1	85.3316129032258	87.13666666666667	0.030199607827218842	0.7057145479213508	Upregulated	Not significant
ilmn_1762561_pla2g10	88.79758064516129	82.3575	-0.10862033287272137	0.11931792486212031	Downregulated	Not significant
ilmn_1665887_wdr61	143.21983870967742	138.11583333333334	-0.052352630670504795	0.3372781710102798	Downregulated	Not significant
ilmn_1720027_znf23	260.32709677419354	308.97333333333336	0.24715684237737853	0.36361617510865585	Upregulated	Not significant
ilmn_1764187_fvt1	3453.3141935483873	3287.0416666666665	-0.07119185697087874	0.24841956878104587	Downregulated	Not significant
ilmn_1808011_fam46b	384.2524193548387	383.9141666666667	-0.0012705460409593427	0.9842603364760667	Downregulated	Not significant
ilmn_1656913_mdh1	154.05	156.185	0.01985722139230272	0.7543314708629254	Upregulated	Not significant
ilmn_1665572_tspan12	143.22	138.11583333333334	-0.0523542553938644	0.3372628344281582	Downregulated	Not significant
ilmn_1681798_sept6	106.69645161290323	102.54583333333333	-0.057243324397304035	0.3012998340924268	Downregulated	Not significant
ilmn_1656837_rbp1	143.22	138.11583333333334	-0.0523542553938644	0.3372628344281582	Downregulated	Not significant
ilmn_1656196_e2f6	137.8906451612903	176.57083333333333	0.35672246839892513	0.1344306934682478	Upregulated	Not significant
ilmn_1748916_c18orf55	91.23919354838709	106.23083333333334	0.2194769668824899	0.08313611618608117	Upregulated	Not significant
ilmn_1701837_klhl2	106.73225806451613	102.60916666666667	-0.056836651903840685	0.30690390779858295	Downregulated	Not significant
ilmn_1804332_gpr137	1993.0987096774193	2006.2808333333332	0.009510401846967253	0.8273343336069775	Upregulated	Not significant
ilmn_1734827_mki67	242.81645161290322	230.61	-0.07441109793966035	0.544681918434955	Downregulated	Not significant
ilmn_1697519_arnt	88.79467741935484	82.36416666666666	-0.10845638496013099	0.11982504000757045	Downregulated	Not significant
ilmn_1652143_e2f3	85.33112903225806	87.13666666666667	0.0302077886197889	0.7056402821564605	Upregulated	Not significant
